sample_id,dataset,task_type,counterfactual_input_1,counterfactual_input_2,choices
N020,QNLI,natural_language_inference,What is another function that primes and the number 1 both have?,"Furthermore, the prime numbers have several properties that the number 1 lacks, such as the relationship of the number to its corresponding value of Euler's totient function or the sum of divisors function.",
N052,QNLI,natural_language_inference,Why did so many approve of the bill?,"Opposition politicians, human rights groups, and nine Western countries criticised the security bill, arguing that it infringed on democratic freedoms.",
N068,QNLI,natural_language_inference,What parts of plants have chloroplasts?,All cells in a multicellular plant contain chloroplasts.,
N084,QNLI,natural_language_inference,What was the only region in Europe conquered by the Germanic tribes?,"Although by 1000 CE, the Germanic conquest of central, western, and southern Europe (west of and including Italy) was complete, excluding only Muslim Iberia.",
N085,QNLI,natural_language_inference,What did the Mongol elites wish Buyantu did?,"He was the first Yuan emperor to actively support and adopt mainstream Chinese culture after the reign of Kublai, to the discontent of some Mongol elite.",
N201,QNLI,natural_language_inference,What happens if a member votes the party line?,"Errant members can be deselected as official party candidates during future elections, and, in serious cases, may be expelled from their parties outright.",
N212,QNLI,natural_language_inference,Who decided to approve paying for renovations at Sun Life Stadium that the league wanted for them to do to host Super Bowl 50?,"However, on May 3, 2013, the Florida legislature refused to approve the funding plan to pay for the renovations, dealing a significant blow to Miami's chances.",
N232,QNLI,natural_language_inference,Who did BSkyB team up with because it was part of the consortium?,"While BSkyB had been excluded from being a part of the ONdigital consortium, thereby making them a competitor by default, BSkyB was able to join ITV Digital's free-to-air replacement, Freeview, in which it holds an equal stake with the BBC, ITV, Channel 4 and National Grid Wireless.",
N257,QNLI,natural_language_inference,Who lived in a tree to allow it to be cut down as a form of civil disobedience?,"Julia Butterfly Hill lived in Luna, a 180-foot (55 m)-tall, 600-year-old California Redwood tree for 738 days, successfully preventing it from being cut down.",
N378,QNLI,natural_language_inference,Why did Westinghouse secure a patent for a similar motor?,"Westinghouse looked into getting a patent on a similar commutator-less, rotating magnetic field-based induction motor presented in a paper in March 1888 by the Italian physicist Galileo Ferraris, but decided Tesla's patent would probably control the market.",
N002,CommonsenseQA,question_answering,Where would I want a fox?,,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""hen house"", ""english hunt"", ""mountains"", ""outside bedroom window"", ""england""]}"
N014,CommonsenseQA,question_answering,Name a location where you would want to find mice.,,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""loft"", ""attic"", ""bell cat"", ""countryside"", ""laboratory""]}"
N145,CommonsenseQA,question_answering,What has a shelf that allows you to see what is inside of it?,,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""chest of drawers"", ""stove"", ""hold alcohol"", ""bookcase"", ""grocery store""]}"
N217,CommonsenseQA,question_answering,During a shark filled tornado where should you be?,,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""marine museum"", ""pool hall"", ""noodle house"", ""bad movie"", ""outside""]}"
N235,CommonsenseQA,question_answering,"When in use, where on your property would you use your bucket?",,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""utility closet"", ""outside"", ""well"", ""garden shed"", ""garage""]}"
N252,CommonsenseQA,question_answering,Who is famous for a superhighway with no speed limit?,,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""europe"", ""germany"", ""industrialized country"", ""city"", ""america""]}"
N260,CommonsenseQA,question_answering,How would you express information if you have a pen or pencil?,,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""may disagree"", ""close mouth"", ""write down"", ""talk"", ""eyes""]}"
N352,CommonsenseQA,question_answering,"The freeway had heavy traffic and many buildings, where is it?",,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""california"", ""countryside"", ""big town"", ""florida"", ""america""]}"
N369,CommonsenseQA,question_answering,What would be true about a basketball if it had a hole in it but it did not lose its general shape?,,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""punctured"", ""popular in america"", ""full of air"", ""gone"", ""round""]}"
N390,CommonsenseQA,question_answering,Where can you put a picture frame when it is hung vertically?,,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""art show"", ""wall"", ""newspaper"", ""car"", ""table""]}"
N007,SST-2,sentiment_analysis,"determined to be fun , and bouncy , with energetic musicals , the humor did engage this adult .",,
N037,SST-2,sentiment_analysis,"it 's original , and , robbed of the element of surprise , it does have huge laughs in its story of irresponsible cops who love to play pranks .",,
N038,SST-2,sentiment_analysis,"try as i may , i can think of a good reason to see this movie , and everyone in my group extemporaneously shouted , ` thank you ! '",,
N047,SST-2,sentiment_analysis,serving sara serves up a whole lot of laughs .,,
N063,SST-2,sentiment_analysis,a subject like this should inspire reaction in its audience ; the pianist does .,,
N073,SST-2,sentiment_analysis,"you will like roger , and you will quickly recognize him .",,
N075,SST-2,sentiment_analysis,the script is very good ; someone as gifted as hoffman ( the actor ) can make it work .,,
N082,SST-2,sentiment_analysis,"passable entertainment , and it 's the kind of motion picture that will make a splash when it 's released , and will be remembered long afterwards .",,
N092,SST-2,sentiment_analysis,"the film contains good jokes , good scenes , and moments when carvey 's saturday night live-honed mimicry rises above the level of embarrassment .",,
N109,SST-2,sentiment_analysis,"at the very least , if you know something about derrida when you walk into the theater , you will know much more when you leave .",,
