sample_id,dataset,importance,input_1,input_2,choices,gold_norm,pred_norm,negation_cues,error_category,qualitative_note
N013,CommonsenseQA,important,John rode on the plain until it reached the ocean and couldn't go any farther. What might he have bee on?,,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""mountain"", ""fancy"", ""sandplain"", ""cliff"", ""gorge""]}",D,C,n't [12],Plausible alternative / answer granularity,Sandplain and cliff are both plausible interpretations of reaching the ocean and being unable to continue.
N033,CommonsenseQA,important,Where would stones not be arranged in a path?,,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""quarries"", ""field"", ""park"", ""bridge"", ""made from rocks""]}",B,A,not [3],Negation scope / compositional interpretation,The model must reason about where stones would not be arranged as a path.
N034,CommonsenseQA,unimportant,Where might an unused chess set be stored?,,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""toy store"", ""michigan"", ""living room"", ""attic"", ""cupboard""]}",E,D,unused [3],Plausible alternative / answer granularity,Attic and cupboard are both plausible storage locations for an unused chess set.
N044,SST-2,important,"... routine , harmless diversion and little else .",,,positive,negative,harmless [3],Mixed or contrastive sentiment,"Positive 'harmless' conflicts with negative 'routine' and 'little else', creating a weak/mixed sentiment signal."
N069,CommonsenseQA,important,There was no shade for Jenny.  She was forced to lie there exposed to what?,,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""full sunlight"", ""bright sunshine"", ""sunny place"", ""eat cake"", ""direct sunlight""]}",A,E,no [2],Plausible alternative / answer granularity,Full sunlight and direct sunlight are near-equivalent answers.
N076,CommonsenseQA,unimportant,"If you were looking for a blowfish, you wouldn't look on dry land, you'd look in a what?",,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""fish market"", ""jungle"", ""sea water"", ""body of water"", ""soup""]}",D,C,n't [10],Plausible alternative / answer granularity,Sea water is a subtype of body of water; the model chose a more specific plausible option.
N087,SST-2,unimportant,"highbrow self-appointed guardians of culture need not apply , but those who loved cool as ice have at last found a worthy follow-up .",,,positive,negative,not [8],Mixed or contrastive sentiment,"The initial exclusionary phrase is negative in tone, but the later 'worthy follow-up' carries the positive judgment."
N099,CommonsenseQA,unimportant,"Joan was a baby, so there were many things she couldn't do, which caused problems for her parents.  Name one thing that makes raising a baby difficult.",,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""arrive early"", ""learn to walk"", ""boy or girl"", ""bring joy"", ""talk nonsense""]}",E,B,n't [12],Dataset/gold ambiguity,Several options can describe difficulties associated with raising a baby.
N111,SST-2,unimportant,reign of fire looks as if it was made without much thought -- and is best watched that way .,,,positive,negative,without [9],Dataset/gold ambiguity,"'Made without much thought' sounds negative, making the positive gold label difficult to reconcile."
N133,CommonsenseQA,important,What is a place that usually does not have an elevator and that sometimes has a telephone book?,,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""at hotel"", ""kitchen"", ""library"", ""telephone booth"", ""house""]}",E,D,not [7],Negation scope / compositional interpretation,The answer requires integrating the negative elevator constraint with the telephone-book clue.
N134,CommonsenseQA,important,If not in a stream but in a market where will you find fish?,,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""stream"", ""aquarium"", ""refrigerator"", ""boat ride"", ""market""]}",C,E,not [1],Dataset/gold ambiguity,"The wording points to a market, while the gold answer is refrigerator; the item is pragmatically awkward."
N141,SST-2,unimportant,the structure the film takes may find matt damon and ben affleck once again looking for residuals as this officially completes a good will hunting trilogy that was never planned .,,,positive,negative,never [28],Mixed or contrastive sentiment,The positive assessment is indirect and mixed with neutral/negative wording about residuals and an unplanned trilogy.
N142,CommonsenseQA,important,Where is a ferret unlikely to be?,,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""classroom"", ""outdoors"", ""aquarium"", ""north carolina"", ""great britain""]}",A,C,unlikely [4],Negation scope / compositional interpretation,The model must rank locations under the negative likelihood expression 'unlikely'.
N146,CommonsenseQA,unimportant,"Sam wasn't lying, but he left out important details. He was being what?",,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""dishonesty"", ""deceitful"", ""imagination"", ""deceptive"", ""poker face""]}",B,D,n't [2],Plausible alternative / answer granularity,Deceitful and deceptive are near-synonymous.
N153,CommonsenseQA,unimportant,At a shop what can you buy to put your spare unused things?,,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""basement"", ""cardboard box"", ""ocean floor"", ""high school"", ""container""]}",E,B,unused [11],Plausible alternative / answer granularity,Cardboard box is a plausible specific type of container.
N164,CommonsenseQA,unimportant,Sally thought that competing wasn't worth the risk. If she pushed more what might happen?,,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""pressure"", ""trying harder"", ""put harder"", ""enemies"", ""death""]}",E,D,n't [5],General commonsense/world knowledge,The error depends more on predicting consequences of risky competition than on understanding the negation.
N167,CommonsenseQA,unimportant,Where can you go to use a piano in your neighborhood if you don't have one?,,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""music school"", ""music store"", ""neighbor's house"", ""lunch"", ""drawing room""]}",C,A,n't [14],Plausible alternative / answer granularity,Music school and a neighbor's house are both plausible places to use a piano one does not own.
N192,CommonsenseQA,important,"She feared that she had cancer, but upon discovering truth that she hadn't, what was her attitude toward life?",,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""conclusion"", ""pain"", ""happiness"", ""relief"", ""boring""]}",C,D,n't [14],Plausible alternative / answer granularity,Relief and happiness are closely related reactions to learning one does not have cancer.
