sample_id,dataset,task_type,source_index,dev_index,input_1,input_2,choices,gold_label,negation_cues,importance,source_annotation,selection_method
N001,CommonsenseQA,question_answering,125,,I did not need a servant.  I was not a what?,,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""freedom"", ""rich person"", ""hired help"", ""in charge"", ""busy""]}",B,not [2] | was [9],unimportant,Hossain et al. released GitHub annotation,fixed-seed sample of important; all unimportant
N002,CommonsenseQA,question_answering,19,,Where would I not want a fox?,,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""hen house"", ""english hunt"", ""mountains"", ""outside bedroom window"", ""england""]}",A,not [3],important,Hossain et al. released GitHub annotation,fixed-seed sample of important; all unimportant
N003,SST-2,sentiment_analysis,57,8,you do n't have to know about music to appreciate the film 's easygoing blend of comedy and romance .,,,positive,n't [2],unimportant,Hossain et al. released GitHub annotation,all important; fixed-seed sample of unimportant
N004,SST-2,sentiment_analysis,17,711,overall the film feels like a low-budget tv pilot that could not find a buyer to play it on the tube .,,,negative,not [13],unimportant,Hossain et al. released GitHub annotation,all important; fixed-seed sample of unimportant
N005,SST-2,sentiment_analysis,139,442,the notion that bombing buildings is the funniest thing in the world goes entirely unexamined in this startlingly unfunny comedy .,,,negative,unfunny [18],important,Hossain et al. released GitHub annotation,all important; fixed-seed sample of unimportant
N006,SST-2,sentiment_analysis,197,177,"does n't offer much besides glib soullessness , raunchy language and a series of brutal set pieces ... that raise the bar on stylized screen violence .",,,negative,n't [1],important,Hossain et al. released GitHub annotation,all important; fixed-seed sample of unimportant
N007,SST-2,sentiment_analysis,20,173,"determined to be fun , and bouncy , with energetic musicals , the humor did n't quite engage this adult .",,,negative,n't [15],important,Hossain et al. released GitHub annotation,all important; fixed-seed sample of unimportant
N008,CommonsenseQA,question_answering,167,,What would you be unable to do if you have too much greed?,,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""keep things"", ""make friends"", ""play poker"", ""conquer opponent"", ""lie""]}",B,unable [4],important,Hossain et al. released GitHub annotation,fixed-seed sample of important; all unimportant
N009,QNLI,natural_language_inference,77,5013,What country has such unmanageable students that many teachers do not discipline them?,"In Japan, for example, although average attainment on standardized tests may exceed those in Western countries, classroom discipline and behavior is highly problematic.",,entailment,unmanageable [4] | not [10],important,Hossain et al. released GitHub annotation,all important; fixed-seed sample of eligible unimportant
N010,CommonsenseQA,question_answering,104,,Where is a likely place to store unused soap?,,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""cabinet"", ""supermarket"", ""jail"", ""butt"", ""own home""]}",A,unused [7],important,Hossain et al. released GitHub annotation,fixed-seed sample of important; all unimportant
N011,CommonsenseQA,question_answering,14,,When you travel you should what in case of unexpected costs?,,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""go somewhere"", ""energy"", ""spend frivilously"", ""fly in airplane"", ""have money""]}",E,unexpected [9],unimportant,Hossain et al. released GitHub annotation,fixed-seed sample of important; all unimportant
