sample_id,dataset,task_type,original_input_1,original_input_2,counterfactual_input_1,counterfactual_input_2,choices,original_gold,original_model_prediction,expected_counterfactual_label,edit_note,counterfactual_prediction,original_prediction_norm,counterfactual_prediction_norm,expected_counterfactual_norm,counterfactual_correct,prediction_flipped
N020,QNLI,natural_language_inference,What is another function that primes have that the number 1 does not?,"Furthermore, the prime numbers have several properties that the number 1 lacks, such as the relationship of the number to its corresponding value of Euler's totient function or the sum of divisors function.",What is another function that primes and the number 1 both have?,"Furthermore, the prime numbers have several properties that the number 1 lacks, such as the relationship of the number to its corresponding value of Euler's totient function or the sum of divisors function.",,entailment,entailment,not_entailment,Reversed 'number 1 does not' into a positive shared-property question.,not_entailment,entailment,not_entailment,not_entailment,1,1
N052,QNLI,natural_language_inference,Why did so many not approve of the bill?,"Opposition politicians, human rights groups, and nine Western countries criticised the security bill, arguing that it infringed on democratic freedoms.",Why did so many approve of the bill?,"Opposition politicians, human rights groups, and nine Western countries criticised the security bill, arguing that it infringed on democratic freedoms.",,entailment,entailment,not_entailment,Removed the question negation ('not approve' -> 'approve').,not_entailment,entailment,not_entailment,not_entailment,1,1
N068,QNLI,natural_language_inference,What parts of plants have chloroplasts?,Not all cells in a multicellular plant contain chloroplasts.,What parts of plants have chloroplasts?,All cells in a multicellular plant contain chloroplasts.,,not_entailment,not_entailment,entailment,Removed sentence-initial negation ('Not all cells' -> 'All cells').,entailment,not_entailment,entailment,entailment,1,1
N084,QNLI,natural_language_inference,What was the only region in Europe not conquered by the Germanic tribes?,"Although by 1000 CE, the Germanic conquest of central, western, and southern Europe (west of and including Italy) was complete, excluding only Muslim Iberia.",What was the only region in Europe conquered by the Germanic tribes?,"Although by 1000 CE, the Germanic conquest of central, western, and southern Europe (west of and including Italy) was complete, excluding only Muslim Iberia.",,entailment,entailment,not_entailment,Removed 'not' from the conquest question.,not_entailment,entailment,not_entailment,not_entailment,1,1
N085,QNLI,natural_language_inference,What did the Mongol elites wish Buyantu didn't do?,"He was the first Yuan emperor to actively support and adopt mainstream Chinese culture after the reign of Kublai, to the discontent of some Mongol elite.",What did the Mongol elites wish Buyantu did?,"He was the first Yuan emperor to actively support and adopt mainstream Chinese culture after the reign of Kublai, to the discontent of some Mongol elite.",,entailment,entailment,not_entailment,Removed contracted negation ('didn't' -> 'did').,not_entailment,entailment,not_entailment,not_entailment,1,1
N201,QNLI,natural_language_inference,What happens if a member doesn't vote the party line?,"Errant members can be deselected as official party candidates during future elections, and, in serious cases, may be expelled from their parties outright.",What happens if a member votes the party line?,"Errant members can be deselected as official party candidates during future elections, and, in serious cases, may be expelled from their parties outright.",,entailment,entailment,not_entailment,Removed contracted negation ('doesn't vote' -> 'votes').,not_entailment,entailment,not_entailment,not_entailment,1,1
N212,QNLI,natural_language_inference,Who decided not to approve paying for renovations at Sun Life Stadium that the league wanted for them to do to host Super Bowl 50?,"However, on May 3, 2013, the Florida legislature refused to approve the funding plan to pay for the renovations, dealing a significant blow to Miami's chances.",Who decided to approve paying for renovations at Sun Life Stadium that the league wanted for them to do to host Super Bowl 50?,"However, on May 3, 2013, the Florida legislature refused to approve the funding plan to pay for the renovations, dealing a significant blow to Miami's chances.",,entailment,entailment,not_entailment,Removed question negation ('not to approve' -> 'to approve').,not_entailment,entailment,not_entailment,not_entailment,1,1
N232,QNLI,natural_language_inference,Who did BSkyB team up with because it was not part of the consortium?,"While BSkyB had been excluded from being a part of the ONdigital consortium, thereby making them a competitor by default, BSkyB was able to join ITV Digital's free-to-air replacement, Freeview, in which it holds an equal stake with the BBC, ITV, Channel 4 and National Grid Wireless.",Who did BSkyB team up with because it was part of the consortium?,"While BSkyB had been excluded from being a part of the ONdigital consortium, thereby making them a competitor by default, BSkyB was able to join ITV Digital's free-to-air replacement, Freeview, in which it holds an equal stake with the BBC, ITV, Channel 4 and National Grid Wireless.",,entailment,entailment,not_entailment,Removed 'not' from consortium-membership condition.,not_entailment,entailment,not_entailment,not_entailment,1,1
N257,QNLI,natural_language_inference,Who lived in a tree to prevent it from being cut down as a form of civil disobedience?,"Julia Butterfly Hill lived in Luna, a 180-foot (55 m)-tall, 600-year-old California Redwood tree for 738 days, successfully preventing it from being cut down.",Who lived in a tree to allow it to be cut down as a form of civil disobedience?,"Julia Butterfly Hill lived in Luna, a 180-foot (55 m)-tall, 600-year-old California Redwood tree for 738 days, successfully preventing it from being cut down.",,entailment,entailment,not_entailment,Reversed the negative prevention relation ('prevent' -> 'allow').,not_entailment,entailment,not_entailment,not_entailment,1,1
N378,QNLI,natural_language_inference,Why did Westinghouse not secure a patent for a similar motor?,"Westinghouse looked into getting a patent on a similar commutator-less, rotating magnetic field-based induction motor presented in a paper in March 1888 by the Italian physicist Galileo Ferraris, but decided Tesla's patent would probably control the market.",Why did Westinghouse secure a patent for a similar motor?,"Westinghouse looked into getting a patent on a similar commutator-less, rotating magnetic field-based induction motor presented in a paper in March 1888 by the Italian physicist Galileo Ferraris, but decided Tesla's patent would probably control the market.",,entailment,entailment,not_entailment,Removed question negation ('not secure' -> 'secure').,not_entailment,entailment,not_entailment,not_entailment,1,1
N002,CommonsenseQA,question_answering,Where would I not want a fox?,,Where would I want a fox?,,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""hen house"", ""english hunt"", ""mountains"", ""outside bedroom window"", ""england""]}",A,A,B,Removed 'not' from preference question.,B,A,B,B,1,1
N014,CommonsenseQA,question_answering,Name a location where you would not want to find mice.,,Name a location where you would want to find mice.,,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""loft"", ""attic"", ""bell cat"", ""countryside"", ""laboratory""]}",B,B,E,Removed 'not' from preference question.,E,B,E,E,1,1
N145,CommonsenseQA,question_answering,What has a shelf that does not allow you to see what is inside of it?,,What has a shelf that allows you to see what is inside of it?,,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""chest of drawers"", ""stove"", ""hold alcohol"", ""bookcase"", ""grocery store""]}",A,A,D,Removed 'does not' from visibility relation.,D,A,D,D,1,1
N217,CommonsenseQA,question_answering,During a shark filled tornado where should you not be?,,During a shark filled tornado where should you be?,,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""marine museum"", ""pool hall"", ""noodle house"", ""bad movie"", ""outside""]}",E,E,D,Removed 'not' from location recommendation.,D,E,D,D,1,1
N235,CommonsenseQA,question_answering,When not in use where on your property would you store you bucket?,,"When in use, where on your property would you use your bucket?",,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""utility closet"", ""outside"", ""well"", ""garden shed"", ""garage""]}",D,D,C,Changed 'not in use' to 'in use' and minimally repaired the verb.,C,D,C,C,1,1
N252,CommonsenseQA,question_answering,Who is not famous for a superhighway with no speed limit?,,Who is famous for a superhighway with no speed limit?,,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""europe"", ""germany"", ""industrialized country"", ""city"", ""america""]}",E,E,B,Removed the matrix negation ('not famous' -> 'famous'); retained the embedded 'no speed limit'.,B,E,B,B,1,1
N260,CommonsenseQA,question_answering,How would you express information if you do not have a pen or pencil?,,How would you express information if you have a pen or pencil?,,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""may disagree"", ""close mouth"", ""write down"", ""talk"", ""eyes""]}",D,D,C,Removed 'do not have' from the condition.,C,D,C,C,1,1
N352,CommonsenseQA,question_answering,"The freeway had no traffic and few buildings, where is it?",,"The freeway had heavy traffic and many buildings, where is it?",,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""california"", ""countryside"", ""big town"", ""florida"", ""america""]}",B,B,C,Reversed the negative/low-quantity description ('no traffic and few buildings').,C,B,C,C,1,1
N369,CommonsenseQA,question_answering,What would not be true about a basketball if it had a hole in it but it did not lose its general shape?,,What would be true about a basketball if it had a hole in it but it did not lose its general shape?,,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""punctured"", ""popular in america"", ""full of air"", ""gone"", ""round""]}",C,C,A,Removed the matrix 'not' from 'What would not be true'; retained the separate shape-preservation negation.,A,C,A,A,1,1
N390,CommonsenseQA,question_answering,Where can you put a picture frame when it's not hung vertically?,,Where can you put a picture frame when it is hung vertically?,,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""art show"", ""wall"", ""newspaper"", ""car"", ""table""]}",E,E,B,Removed 'not' from orientation condition.,B,E,B,B,1,1
N007,SST-2,sentiment_analysis,"determined to be fun , and bouncy , with energetic musicals , the humor did n't quite engage this adult .",,"determined to be fun , and bouncy , with energetic musicals , the humor did engage this adult .",,,negative,negative,positive,Removed contracted negation from 'didn't engage'.,positive,negative,positive,positive,1,1
